url,median_ms,status,runs_seconds
http://127.0.0.1:3001/,13.19,PASS,0.322232,0.021647,0.011453,0.011178,0.013194
http://127.0.0.1:3001/about-me,8.83,PASS,0.175224,0.008829,0.005090,0.009309,0.004988
http://127.0.0.1:3001/kontakt,3.16,PASS,0.178743,0.003163,0.003444,0.002984,0.002831
http://127.0.0.1:3001/datenschutz,3.79,PASS,0.107698,0.004913,0.003790,0.003755,0.003321
http://127.0.0.1:3001/impressum,2.90,PASS,0.128124,0.002857,0.003439,0.002811,0.002896
http://127.0.0.1:3001/documentation,3.16,PASS,0.240336,0.003803,0.003164,0.002873,0.003033
http://127.0.0.1:3001/agb,2.70,PASS,0.187349,0.002631,0.002701,0.002352,0.003248
http://127.0.0.1:3001/privacy,0.79,PASS,0.001311,0.000789,0.000831,0.000666,0.000607
http://127.0.0.1:3001/imprint,0.66,PASS,0.000656,0.000585,0.000684,0.001156,0.000661
http://127.0.0.1:3001/en,8.04,PASS,0.114463,0.009878,0.007230,0.008042,0.006331
http://127.0.0.1:3001/en/about-me,2.77,PASS,0.195411,0.003363,0.002765,0.002446,0.002646
http://127.0.0.1:3001/en/kontakt,2.45,PASS,0.465766,0.003015,0.002450,0.002349,0.002253
http://127.0.0.1:3001/en/datenschutz,3.18,PASS,0.196074,0.003037,0.003406,0.002947,0.003184
http://127.0.0.1:3001/en/impressum,2.88,PASS,0.195722,0.002832,0.002624,0.003034,0.002875
http://127.0.0.1:3001/en/documentation,3.64,PASS,0.095996,0.003353,0.003525,0.003971,0.003643
http://127.0.0.1:3001/en/agb,7.38,PASS,0.313594,0.003684,0.009657,0.007385,0.003137
http://127.0.0.1:3001/en/privacy,0.96,PASS,0.001519,0.001833,0.000963,0.000804,0.000698
http://127.0.0.1:3001/en/imprint,0.52,PASS,0.000652,0.000557,0.000497,0.000437,0.000524
